SRA_ID	study	cell_type	paired_end	stimulated	groups	file
SRR15054901	Giles	CD8_Naive	PAIRED	none	Naive_CD8_Tcells	SRA
SRR15054921	Giles	CD8_Naive	PAIRED	none	Naive_CD8_Tcells	SRA
SRR15054948	Giles	CD8_Naive	PAIRED	none	Naive_CD8_Tcells	SRA
SRR15054953	Giles	CD8_BulkNonNaive	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR15054957	Giles	CD8_Naive	PAIRED	none	Naive_CD8_Tcells	SRA
SRR15054972	Giles	CD4_BulkNonNaive	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR15055235	Giles	CD8_NonNaive_Tumor	PAIRED	tumor_donor	Non_Naive_CD8_Tcells	SRA
SRR15055251	Giles	CD8_NonNaive_Tumor	PAIRED	tumor_donor	Non_Naive_CD8_Tcells	SRA
SRR15054789	Giles	CD8_CM	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR15054795	Giles	CD8_EM1	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR15054860	Giles	CD4_Treg	PAIRED	none	Tregs	SRA
SRR15054866	Giles	CD4_Tfh	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR15054871	Giles	CD8_EM2	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR15054898	Giles	CD8_EM2	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR15054900	Giles	CD8_CM	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR15054905	Giles	CD8_BulkNaive	PAIRED	none	Naive_CD8_Tcells	SRA
SRR15054909	Giles	CD8_EM1	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR15054929	Giles	CD8_EM1	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR15054942	Giles	CD8_BulkNaive	PAIRED	none	Naive_CD8_Tcells	SRA
SRR15054968	Giles	CD4_BulkNaive	PAIRED	none	Naive_CD4_Tcells	SRA
SRR15054970	Giles	CD4_Tfh	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR12810629	Trizzino	Monocytes	PAIRED	none	Monocytes	SRA
SRR11909941	Ram-Mohan	Neutrophils	PAIRED	none	Neutrophils	SRA
SRR11727638	Perez	Neutrophils	PAIRED	none	Neutrophils	SRA
SRR11727639	Perez	Neutrophils	PAIRED	none	Neutrophils	SRA
SRR11727640	Perez	Neutrophils	PAIRED	none	Neutrophils	SRA
SRR5646911	Liu	human_endotheliocyte_cell	PAIRED	none	Endothelial	SRA
SRR5646912	Liu	human_endotheliocyte	PAIRED	none	Endothelial	SRA
SRR5646915	Liu	human_CD8+_T_cell	PAIRED	none	CD8_Tcells	SRA
SRR5646917	Liu	human_dendritic_cell	PAIRED	none	DCs	SRA
SRR5646919	Liu	human_dendritic_cell	PAIRED	none	DCs	SRA
SRR5646921	Liu	human_fibroblast_cell	PAIRED	none	Fibroblasts	SRA
SRR5646922	Liu	human_fibroblast_cell	PAIRED	none	Fibroblasts	SRA
SRR5646940	Liu	human_CD4+_T_cell	PAIRED	sclerosis_patient	CD4_Tcells	SRA
SRR5646941	Liu	human_CD4+_T_cell	PAIRED	sclerosis_patient	CD4_Tcells	SRA
SRR5646942	Liu	human_CD4+_T_cell	PAIRED	sclerosis_patient	CD4_Tcells	SRA
SRR5646949	Liu	human_CD8+_T_cell	PAIRED	sclerosis_patient	CD8_Tcells	SRA
SRR5646950	Liu	human_CD8+_T_cell	PAIRED	sclerosis_patient	CD8_Tcells	SRA
SRR5646951	Liu	human_CD8+_T_cell	PAIRED	sclerosis_patient	CD8_Tcells	SRA
SRR5646957	Liu	human_denditic_cell	PAIRED	sclerosis_patient	DCs	SRA
SRR5646962	Liu	human_fibroblast_cell	PAIRED	sclerosis_patient	Fibroblasts	SRA
SRR5646963	Liu	human_fibroblast_cell	PAIRED	sclerosis_patient	Fibroblasts	SRA
SRR5646966	Liu	human_macrophage_cell	PAIRED	sclerosis_patient	Macrophages	SRA
SRR5646910	Liu	human_endotheliocyte_cell	PAIRED	none	Endothelial	SRA
SRR5646913	Liu	human_CD4+_T_cell	PAIRED	none	CD4_Tcells	SRA
SRR5646914	Liu	human_CD4+_T_cell	PAIRED	none	CD4_Tcells	SRA
SRR5646918	Liu	human_dendritic_cell	PAIRED	none	DCs	SRA
SRR5646920	Liu	human_fibroblast_cell	PAIRED	none	Fibroblasts	SRA
SRR5646929	Liu	human_macrophage_cell	PAIRED	none	Macrophages	SRA
SRR13276223	Ge	Fibroblasts	PAIRED	none	Fibroblasts	SRA
SRR13276229	Ge	Fibroblasts	PAIRED	none	Fibroblasts	SRA
SRR13276231	Ge	Fibroblasts	PAIRED	none	Fibroblasts	SRA
SRR13276232	Ge	Fibroblasts	PAIRED	stimulated	Fibroblasts	SRA
SRR11149143	Xin	Endothelial	PAIRED	normoxia	Endothelial	SRA
SRR11149144	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149145	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149146	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149147	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149149	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149150	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149151	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149152	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149153	Xin	Endothelial	PAIRED	normoxia	Endothelial	SRA
SRR11149154	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149155	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149156	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149157	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149158	Xin	Endothelial	PAIRED	normoxia	Endothelial	SRA
SRR11149159	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149160	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149161	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149162	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149164	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149165	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149167	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149168	Xin	Endothelial	PAIRED	normoxia	Endothelial	SRA
SRR11149169	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149171	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149172	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149174	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149175	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149176	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149178	Xin	Endothelial	PAIRED	normoxia	Endothelial	SRA
SRR11149179	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149180	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149181	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149182	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149183	Xin	Endothelial	PAIRED	normoxia	Endothelial	SRA
SRR11149184	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149185	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149186	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149187	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149188	Xin	Endothelial	PAIRED	normoxia	Endothelial	SRA
SRR11149189	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149190	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149191	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11149192	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR14240803	Zhang	monocyte-derived_macrophage	PAIRED	stimulated	Macrophages	SRA
SRR14240804	Zhang	monocyte-derived_macrophage	PAIRED	stimulated	Macrophages	SRA
SRR14240805	Zhang	monocyte-derived_macrophage	PAIRED	none	Macrophages	SRA
SRR14240806	Zhang	monocyte-derived_macrophage	PAIRED	stimulated	Macrophages	SRA
SRR14240807	Zhang	monocyte-derived_macrophage	PAIRED	stimulated	Macrophages	SRA
SRR14240808	Zhang	monocyte-derived_macrophage	PAIRED	none	Macrophages	SRA
SRR14240809	Zhang	monocyte-derived_macrophage	PAIRED	stimulated	Macrophages	SRA
SRR14240810	Zhang	monocyte-derived_macrophage	PAIRED	stimulated	Macrophages	SRA
SRR14240811	Zhang	monocyte-derived_macrophage	PAIRED	none	Macrophages	SRA
SRR14240812	Zhang	monocyte-derived_macrophage	PAIRED	stimulated	Macrophages	SRA
SRR14240813	Zhang	monocyte-derived_macrophage	PAIRED	stimulated	Macrophages	SRA
SRR14240814	Zhang	monocyte-derived_macrophage	PAIRED	none	Macrophages	SRA
SRR14240815	Zhang	monocyte-derived_macrophage	PAIRED	stimulated	Macrophages	SRA
SRR14240816	Zhang	monocyte-derived_macrophage	PAIRED	stimulated	Macrophages	SRA
SRR14240817	Zhang	monocyte-derived_macrophage	PAIRED	none	Macrophages	SRA
SRR14240818	Zhang	monocyte-derived_macrophage	PAIRED	stimulated	Macrophages	SRA
SRR14240820	Zhang	monocyte-derived_macrophage	PAIRED	none	Macrophages	SRA
SRR14240821	Zhang	induced_pluripotent_stem_cell-derived_macrophages	PAIRED	stimulated	Macrophages	SRA
SRR14240823	Zhang	induced_pluripotent_stem_cell-derived_macrophages	PAIRED	stimulated	Macrophages	SRA
SRR14240825	Zhang	induced_pluripotent_stem_cell-derived_macrophages	PAIRED	stimulated	Macrophages	SRA
SRR14240826	Zhang	induced_pluripotent_stem_cell-derived_macrophages	PAIRED	stimulated	Macrophages	SRA
SRR14240827	Zhang	induced_pluripotent_stem_cell-derived_macrophages	PAIRED	stimulated	Macrophages	SRA
SRR14240828	Zhang	induced_pluripotent_stem_cell-derived_macrophages	PAIRED	stimulated	Macrophages	SRA
SRR14240829	Zhang	induced_pluripotent_stem_cell-derived_macrophages	PAIRED	none	Macrophages	SRA
SRR14240830	Zhang	induced_pluripotent_stem_cell-derived_macrophages	PAIRED	none	Macrophages	SRA
SRR14240831	Zhang	induced_pluripotent_stem_cell-derived_macrophages	PAIRED	none	Macrophages	SRA
SRR14240832	Zhang	induced_pluripotent_stem_cell-derived_macrophages	PAIRED	none	Macrophages	SRA
SRR14240833	Zhang	CD14_monocytes	PAIRED	none	Monocytes	SRA
SRR14240834	Zhang	CD19_B_cells	PAIRED	none	Bcells	SRA
SRR14240835	Zhang	CD4_T_cells	PAIRED	none	CD4_Tcells	SRA
SRR14240836	Zhang	CD8_T_cells	PAIRED	none	CD8_Tcells	SRA
SRR14240837	Zhang	CD14_monocytes	PAIRED	none	Monocytes	SRA
SRR14240838	Zhang	CD19_B_cells	PAIRED	none	Bcells	SRA
SRR14240839	Zhang	CD4_T_cells	PAIRED	none	CD4_Tcells	SRA
SRR14240840	Zhang	CD8_T_cells	PAIRED	none	CD8_Tcells	SRA
SRR14240842	Zhang	CD19_B_cells	PAIRED	none	Bcells	SRA
SRR14240843	Zhang	CD4_T_cells	PAIRED	none	CD4_Tcells	SRA
SRR14240844	Zhang	CD8_T_cells	PAIRED	none	CD8_Tcells	SRA
