SRA_ID	study	cell_type	paired_end	stimulated	groups	file
SRR14107871	entex	liver	PAIRED	none	liver	SRA
SRR14107872	entex	liver	PAIRED	none	liver	SRA
SRR14107873	entex	liver	PAIRED	none	liver	SRA
SRR14107874	entex	liver	PAIRED	none	liver	SRA
SRR14102883	entex	thyroid	PAIRED	none	thyroid	SRA
SRR14103013	entex	colon	PAIRED	none	colon	SRA
SRR14103618	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14103619	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14104044	entex	thyroid	PAIRED	none	thyroid	SRA
SRR14104045	entex	thyroid	PAIRED	none	thyroid	SRA
SRR14104129	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14104130	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14104131	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14104132	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14104133	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14104134	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14104135	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14104136	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14104316	entex	colon	PAIRED	none	colon	SRA
SRR14104317	entex	colon	PAIRED	none	colon	SRA
SRR14104318	entex	colon	PAIRED	none	colon	SRA
SRR14104319	entex	colon	PAIRED	none	colon	SRA
SRR14104320	entex	colon	PAIRED	none	colon	SRA
SRR14104321	entex	colon	PAIRED	none	colon	SRA
SRR14104322	entex	colon	PAIRED	none	colon	SRA
SRR14104323	entex	colon	PAIRED	none	colon	SRA
SRR14104376	entex	colon	PAIRED	none	colon	SRA
